FIPS,Tract,Year,IGS,Place,Economy,Community,Net_Occupancy,Real_Estate,Park_Land,Affordable_Housing,Internet_Access,Travel_Time,New_Businesses,Small_Biz_Loans,Min_Women_Biz,Labor_Engagement,Comm_Diversity,Personal_Income,Female_Poverty,Gini,Early_Education,Health_Insurance
48113018501,Dallas_TX_18501,2017,51.0,44.0,70.0,39.0,77.0,22.0,31.0,32.0,47.0,46.0,47.0,75.0,88.0,25.0,99.0,5.0,18.0,58.0,49.0,15.0
48113018501,Dallas_TX_18501,2018,50.0,46.0,62.0,42.0,75.0,29.0,31.0,39.0,47.0,46.0,47.0,76.0,88.0,24.0,99.0,8.0,14.0,58.0,44.0,16.0
48113018501,Dallas_TX_18501,2019,50.0,46.0,66.0,38.0,72.0,33.0,31.0,40.0,43.0,48.0,56.0,47.0,88.0,25.0,99.0,25.0,13.0,65.0,41.0,14.0
48113018501,Dallas_TX_18501,2020,50.0,44.0,64.0,40.0,61.0,40.0,31.0,40.0,37.0,41.0,55.0,64.0,91.0,28.0,99.0,48.0,11.0,62.0,50.0,8.0
48113018501,Dallas_TX_18501,2021,56.0,47.0,70.0,51.0,64.0,52.0,31.0,39.0,47.0,27.0,59.0,70.0,91.0,48.0,99.0,50.0,25.0,84.0,36.0,8.0
48113018501,Dallas_TX_18501,2022,54.0,49.0,71.0,43.0,68.0,61.0,31.0,43.0,52.0,9.0,77.0,41.0,93.0,53.0,99.0,47.0,21.0,71.0,38.0,7.0
48113018501,Dallas_TX_18501,2023,60.0,58.0,78.0,45.0,76.0,63.0,31.0,66.0,85.0,7.0,63.0,90.0,91.0,53.0,98.0,47.0,52.0,42.0,39.0,9.0
48113018501,Dallas_TX_18501,2024,56.0,58.0,71.0,40.0,73.0,63.0,31.0,66.0,85.0,7.0,57.0,66.0,95.0,53.0,94.0,47.0,52.0,42.0,39.0,9.0
48113018501,Dallas_TX_18501,2025,60.0,58.0,74.0,46.0,73.0,63.0,31.0,66.0,85.0,7.0,72.0,66.0,92.0,53.0,99.0,47.0,52.0,42.0,39.0,9.0
48113019013,Dallas_TX_19013,2017,46.0,42.0,54.0,43.0,55.0,,10.0,64.0,4.0,40.0,46.0,37.0,86.0,22.0,76.0,38.0,4.0,38.0,29.0,10.0
48113019013,Dallas_TX_19013,2018,46.0,47.0,51.0,40.0,66.0,,10.0,58.0,4.0,41.0,46.0,53.0,86.0,21.0,76.0,23.0,4.0,45.0,38.0,7.0
48113019013,Dallas_TX_19013,2019,38.0,40.0,50.0,26.0,51.0,,10.0,54.0,5.0,41.0,38.0,37.0,86.0,19.0,76.0,21.0,5.0,50.0,37.0,5.0
48113019013,Dallas_TX_19013,2020,44.0,36.0,63.0,34.0,47.0,,10.0,44.0,6.0,41.0,49.0,67.0,93.0,19.0,72.0,24.0,6.0,58.0,32.0,3.0
48113019013,Dallas_TX_19013,2021,40.0,28.0,52.0,40.0,37.0,,10.0,26.0,15.0,28.0,32.0,43.0,92.0,19.0,75.0,37.0,7.0,83.0,9.0,2.0
48113019013,Dallas_TX_19013,2022,39.0,28.0,52.0,37.0,37.0,,10.0,15.0,14.0,32.0,91.0,28.0,76.0,15.0,76.0,39.0,9.0,77.0,,1.0
48113019013,Dallas_TX_19013,2023,38.0,24.0,52.0,40.0,37.0,,10.0,12.0,9.0,12.0,30.0,57.0,90.0,15.0,78.0,44.0,8.0,94.0,6.0,1.0
48113019013,Dallas_TX_19013,2024,42.0,26.0,65.0,35.0,40.0,,10.0,12.0,9.0,12.0,91.0,54.0,88.0,15.0,91.0,44.0,8.0,94.0,6.0,1.0
48113019013,Dallas_TX_19013,2025,40.0,26.0,54.0,40.0,40.0,,10.0,12.0,9.0,12.0,30.0,54.0,94.0,15.0,77.0,44.0,8.0,94.0,6.0,1.0
22041950100,Franklin_Parish_LA,2017,42.0,44.0,55.0,28.0,58.0,41.0,19.0,93.0,13.0,31.0,71.0,74.0,,48.0,27.0,16.0,27.0,41.0,78.0,13.0
22041950100,Franklin_Parish_LA,2018,42.0,42.0,54.0,28.0,45.0,41.0,19.0,89.0,13.0,39.0,71.0,72.0,,46.0,27.0,19.0,29.0,47.0,55.0,20.0
22041950100,Franklin_Parish_LA,2019,38.0,44.0,32.0,37.0,37.0,65.0,19.0,83.0,9.0,41.0,27.0,30.0,,47.0,27.0,28.0,31.0,56.0,62.0,33.0
22041950100,Franklin_Parish_LA,2020,42.0,40.0,43.0,41.0,35.0,66.0,19.0,62.0,7.0,34.0,61.0,47.0,,39.0,26.0,36.0,31.0,51.0,65.0,37.0
22041950100,Franklin_Parish_LA,2021,34.0,36.0,22.0,44.0,45.0,63.0,19.0,33.0,4.0,18.0,18.0,25.0,,18.0,28.0,40.0,55.0,51.0,21.0,66.0
22041950100,Franklin_Parish_LA,2022,36.0,34.0,32.0,42.0,44.0,42.0,19.0,61.0,5.0,12.0,37.0,51.0,,14.0,24.0,32.0,78.0,52.0,14.0,60.0
22041950100,Franklin_Parish_LA,2023,39.0,33.0,42.5,42.0,41.0,46.0,19.0,56.0,2.0,9.0,73.0,60.0,12.0,14.0,28.0,36.0,69.0,42.0,19.0,59.0
22041950100,Franklin_Parish_LA,2024,35.0,32.0,31.0,42.0,38.0,46.0,19.0,56.0,2.0,9.0,16.0,44.0,20.0,14.0,62.0,36.0,69.0,42.0,19.0,59.0
22041950100,Franklin_Parish_LA,2025,38.0,32.0,40.0,42.0,38.0,46.0,19.0,56.0,2.0,9.0,73.0,44.0,15.0,14.0,36.0,36.0,69.0,42.0,19.0,59.0
6019003104,Fresno_CA_3104,2017,54.0,51.0,72.0,38.0,72.0,24.0,46.0,31.0,53.0,85.0,52.0,88.0,61.0,66.0,99.0,30.0,39.0,54.0,3.0,44.0
6019003104,Fresno_CA_3104,2018,50.0,48.0,66.0,35.0,73.0,17.0,46.0,27.0,53.0,80.0,52.0,61.0,61.0,64.0,99.0,25.0,36.0,61.0,4.0,48.0
6019003104,Fresno_CA_3104,2019,53.0,43.0,66.0,50.0,55.0,17.0,46.0,24.0,59.0,72.0,69.0,46.0,61.0,60.0,99.0,32.0,32.0,70.0,5.0,51.0
6019003104,Fresno_CA_3104,2020,52.0,45.0,64.0,45.0,39.0,37.0,46.0,27.0,64.0,69.0,37.0,62.0,55.0,55.0,99.0,33.0,28.0,71.0,6.0,54.0
6019003104,Fresno_CA_3104,2021,52.0,48.0,64.0,45.0,51.0,,46.0,23.0,45.0,72.0,69.0,84.0,59.0,42.0,99.0,47.0,19.0,69.0,0.0,80.0
6019003104,Fresno_CA_3104,2022,52.0,56.0,60.0,41.0,70.0,56.0,46.0,22.0,44.0,88.0,54.0,48.0,61.0,47.0,99.0,44.0,18.0,65.0,0.0,67.0
6019003104,Fresno_CA_3104,2023,60.0,62.0,64.0,52.0,75.0,70.0,46.0,40.0,35.0,91.0,62.0,49.0,52.0,47.0,99.0,60.0,30.0,37.0,1.0,73.0
6019003104,Fresno_CA_3104,2024,57.0,62.0,65.0,44.0,75.0,70.0,46.0,40.0,35.0,91.0,68.0,66.0,62.0,47.0,99.0,60.0,30.0,37.0,1.0,73.0
6019003104,Fresno_CA_3104,2025,60.0,62.0,69.0,48.0,75.0,70.0,46.0,40.0,35.0,91.0,73.0,66.0,67.0,47.0,99.0,60.0,30.0,37.0,1.0,73.0
6019003302,Fresno_CA_3302,2017,50.0,64.0,46.0,39.0,82.0,70.0,38.0,67.0,25.0,76.0,71.0,65.0,74.0,11.0,9.0,40.0,8.0,15.0,60.0,27.0
6019003302,Fresno_CA_3302,2018,44.0,59.0,42.0,33.0,70.0,57.0,38.0,79.0,25.0,76.0,71.0,23.0,74.0,10.0,9.0,59.0,7.0,8.0,65.0,27.0
